Datetime,username,tweets,emotions
7/6/2021,FlyFM958,if you put a frog in the water and slowly raise the temperature it will stay until it is boiled to death ,anger
7/6/2021,shrrr4,sebok psl kerajaan gagal but they be still crossing district jumpa gf bf org mcm ni smpai mampos la tak habis pkp stay at home laaa susah ke mati ke tk jumpa bf gf korng tu haih,anger
7/6/2021,MinElly287,insyaallah we can do this stay at home please  ,anger
7/6/2021,dinoyong,a bit of relief seeing this downtrend pray hard and continue stay home,anger
7/6/2021,miyanlov3,stay home ja  tak payah merayau ,anger
7/6/2021,RajaAmieraa,saya ni dah stay home tau tapi kes still juga naik ,anger
7/6/2021,Syuk_RCs,walaupun ada turun   please stay home lagi jgn nk kuar tak tentu pasaiii   ,anger
7/6/2021,IntanEdgar,i stay at home i only leave the house to get my groceries twice a month i dont talk to people just get my things and head home straight  no detour nothing  but covid still found its way to get me  be extra vigilant guys  covid is everywhere,anger
7/6/2021,neexxzz,friendly reminder kita belum menang  stay at home,happy
7/6/2021,xhisa12,on nd tot i rather be at office than stay at home cuz of this mental torture  can i go  out and rent a hotel room,happy
7/6/2021,Melluvchai,lagu  bangkit semula dr single  telah menjadi ost drama  astro iaitu  deritauntukbahagia  isnin   jumaat jam  ptg di astroprima   khaibahar bangkitsemula  stay safe n stay at home semua  ,anger
7/6/2021,JohnaGena1,covid  stay  home ,anger
7/6/2021,Jazzmine_jessy,menteri fikir kita stay at home wfh ni xbt apa mcm diorg agknya  fundekk ,anger
7/6/2021,Zulnasri_Said,stay at home woi  buat assignment  kalau takde assignment main ml  season dah nak habis push rank byk  asalkan solat tak tinggal and kau tak keluar,anger
7/6/2021,miraeruns,caption dia stay safe stay home fight covid bla bla bla insert makian terhadap menteri  igstory kawan dia  orang lari berjemaah termasuk dia di atas  k,anger
7/6/2021,idotcomel,better stay home sajala kan   byk lg ceta netflix boleh hbskan,anger
7/6/2021,TYRADNE,its been awhile of not doing outdoor activities out for running basketballing everything  i love  everyday meratib to my husband  i miss going out bla bla  and looking at people yg loud suruh orang stay at home but dia sendiri upload hari tak jaga pun  sop makes me angry,love
7/6/2021,UtusanTV,kejohanan akan disiarkan secara langsung menerusi  fb  team  haq  esports  club ,anger
7/6/2021,stnkhalida,hahahahhahaha memg semua jawapan stay at home ke apa ni,anger
7/6/2021,Vincent12006599,buy from  lazada and  shopee la  so convenient these days  everything sells online now every a single screw sand cement etc  pls go online and stay at home,anger
7/6/2021,izaanfly,on top of that macam mana marhaen mahu stay at home kalau majikan suruh pekerja datang  majikan pula susah untuk tutup pasal tiada bantuan kewangan from kerajaan  kau kerja makan gaji dan tidak terkesan senanglah cakap,anger
7/6/2021,yeeshean4,stay  home  stay  safe  ,happy
7/6/2021,kpjmaharani,with utmost sincerity from  board of  directors  senior  management and  staff of  kpj  healthcare  berhad its group of  hospitals   companies  stay  safe  stay  healthy  stay  home because  we  care  for  life kpjgreeting kitajagakita  kp jcares malaysia,happy
7/6/2021,hisyamghazali91,suruh rakyat stay at home tapi home appliances rosak tak boleh nak repair  apa ke bodoh lah polisi macam ni  hal electronic internet plumbing tu kan sepatutnya essential  dah yg buat polisi semua duduk mahligai  tahu tahu semua ada  bodoh,anger
7/6/2021,mrizwanrosli,stay at home hmmmm,anger
7/6/2021,Ahchat_5991,wait why both laki bini mesti keluar tinggalkan anak kecik  n  tahun kat rumah  cant  of em just stay home ,anger
7/6/2021,bharianmy,b hsukan  kejohanan  mobile  legend  bang  bang  thq  stay  at  home menerima sambutan menggalakkan ,anger
7/6/2021,malaysia_covid,re update   to show how severe our sporadic cases are right now   less than  cases are linked to any clusters so stay at home if you have no other reasons to go out in public unless you have to  ,happy
7/6/2021,HiAjinomotoMY,happy  world  food  safety  day  do stay healthy by eating nutritious food in this  fmco  time to control our sodium consumption  get diet back on track as we cook at home  remember  eat  well  live  well   hi ajinomoto my eatwelllivewell  world food safety day  ajinomoto  stay safe ,happy
7/6/2021,501Awani,tiada yuran penyertaan dikenakan  awan inews  awan ipagi  disiplin malaysia  norma baharu ,anger
7/6/2021,MartialWak,suruh stay at homeko pi stay kat hotel ambik lah,anger
7/6/2021,PromocodesMY,  maybank  extra  rm  off  voucher   shopee  stay  home  stay  safe  extra  shipping  voucher   up to   ccb  vouchers  claim  all  vouchers  here  ,anger
7/6/2021,cheen97,dah seminggu weh stay at home  sikit hari lagi jadi zombie ,anger
7/6/2021,Prem_111093,ili  patients needs to tested instead they are asked to stay in home quarantine without testing,anger
7/6/2021,DPULZEcyberjaya,  heartfelt birthday wishes to  yang di pertuan  agong  sultan  muhammad  xvi  we wishes everyone a happy holiday  stay safe at home  daulat tuanku  yangdi pertuan agong ,happy
