Datetime,username,tweets,emotions
23/6/2020,mesekknyawai,its backtoschool guys with new norms as we are battling against the spread of  covid  let us hope that this will end soon schoolreopening feelingblessed feelinghopeful  teacher life,sadness
12/6/2020,aimyabd87,cleaning process from us kitajagakitaweprotectourkiddosorphanagehome ,anger
8/6/2020,eshamzhalim,we can do it  malaysia  boleh kitajagakita fightcovid kitamestimenang malaysiaboleh   malaysia ,anger
31/5/2020,zizancrew,tiada  hari  tanpa  cod pos  ceo  cafe  shuang  hor  dari  abam  zizan musim  pkppkpb  permintaan  semakin  tinggi dan  ramai  yang  pentingkan  kesihatan  yang  amat  bernilai  musim  covid  ini jom  try  ceo  cafe  klik link dibawah ,anger
25/5/2020,GelyienaOsman,  syawal  kes baru meningkat coviddudukrumah jagadiri kitajagakita jauhkanjarak kerapbasuhtangan sentiasapakaimask hapuskancovidsemogadipermudahkansegalanyaolehallahswt ,anger
24/5/2020,4jimz,here comes the  wan  family hari raya aidilfitri  eid ul fitr hijri  covid   hijri  sayang wifey  wan family  rimba the card game  syawal schoolholidays  maaf zahir dan batin  q the cat ,happy
23/5/2020,BlackPepper918,havocnakraya   assalammualaikum semuanya  selamat  hari  raya  maaf  zahir dan  batin  buat keluarga  tersyg  di  mukah  i  u all dan buat semua yg tersyg stay at home  stay safe  kita jaga kita,happy
19/5/2020,harryejay, hari berturut dah sikda covid cases in  sarawak ,anger
15/5/2020,thisisreef,saya akui bukan mudah menjadi  barisan  hadapan frontliners  cabaran cukup besar berhadapan dengan virus  covid ini  tidak kira dilapangan mana sekalipun anda terima kasih yang tidak terhingga kerana menjaga kami ,anger
14/5/2020,caguyeah_,semua okay ka  puasa penuh dak tu  tanyaa jaa ramadhankareemmalamterakhirstayathomestaysafekitajagakita cc   dinaatirah   malaysia ,anger
12/5/2020,Amenjahhh,that time  so he has to leave his family wife and  children in  kelantan first  but then  covid hits  malaysia and  mco started the family couldnt come back to  sibu   for  months without his family  i cant imagine how much he misses his wife and children ,happy
11/5/2020,Fitrinyet,wait for another month waybe  hollamonday blackwhite  timegoesby roadfornotcuttinghair selfie swafoto staysafe kitajagakita haveaniceday   malaysia ,anger
10/5/2020,arieldmillan,continue  pkp pkpb june perintahkawalpergerakan mco movementcontrolorder lockdown covid malaysia stayathome staysafe viral like people world video primeminister   malaysia ,anger
6/5/2020,yclim95,mco period   may   wednesdaycoronavirusmco malaysia  daily petalingjaya   malaysia ,anger
2/5/2020,RosniMane,thank you to all those fighting on the front lines against  covid  kita mesti menang    malaysia ,anger
29/4/2020,izamrie,kcovidstaysafemsiawhenthereisunitythereisvictory   malaysia ,anger
27/4/2020,saufisufian,covid  cant  stop  you  loving  your  love  onesquarantine quarantena kuarantin quarantaine quarantne karantina cuarentena stayathome  stay home flattenthecurve breakthechain   malaysia ,love
25/4/2020,mesekknyawai,minta ampunnadai  gawai taun tu augalau aja bulu betis kita nya sampai begelung anang beguai ka ngikis iya taun tok  covid ,anger
25/4/2020,drkaylateh,should you cancel your  dental appointment  should you still go to the hospital and get your medications we know that you might be afraid to go to hospitals and clinics during this  covid outbreak  but when  should ,fear
25/4/2020,drkaylateh,following the extension of  movement  control  order   pkp heres some psa from me and team of  helo doktor  stay at home stay safe and stay rational   duduk rumah  stay at home  kita jaga kita   malaysia ,happy
25/4/2020,gojes_nenek,selamat berpuasa selamat hujung minggu  jng lups tekan link di bio  nenek gojez  team nenek gojez ramadhan puasa pkp jagahati jagadiri kitajagakita mekapharian trulook nofoundation sale ,happy
24/4/2020,saufisufian,stay home longer the movement control order  mco extended to  may   th day of  ramadhancovd quarantinelife quarantena kuarantin quarantaine quarantne karantina cuarentena stayathome ,happy
24/4/2020,saufisufian,i noticed during this  covid pendemic is the absence of airplanes in the skycovd quarantinelife quarantena kuarantin quarantaine quarantne karantina cuarentenastayathome flattenthecurve ,sadness
23/4/2020,arieldmillan,continue  pkp perintahkawalpergerakan mco movementcontrolorder lockdown covid malaysia stayathome staysafe viral like people world video primeminister   malaysia ,anger
23/4/2020,EdahRusdi,sama sama kita doakan semoga pakcik ya pun cepat bait  hapus covid  kitajagakita ,anger
23/4/2020,EdahRusdi,alhamdulillah adik aku dah discaj setelah  hari bertarung dengan  covid  terima  kasih semua  frontliners  hapus covid kita mesti menang  kluster bunian ,love
22/4/2020,boetec,mco day  coronavirus covid mco pkp day   malaysia ,anger
22/4/2020,saufisufian,protect  your  home from  co vi d before entering your home take off your shoes spray alcohol on the soles  or leave them under the sun wash your legs to ostayathome socialdistancing ,anger
21/4/2020,saufisufian,co vi d the new norm  wash  your  hands can help yourself and your loved ones stay healthystayathomesocialdistancingflattenthecurvebreakthechain   malaysia ,anger
20/4/2020,saufisufian,social  distancing is a new norm co vi dstayathomesocialdistancingflattenthecurve   malaysia ,anger
20/4/2020,saufisufian,helping those in need is not charity its humanity abhijit  naskar co vi dstayathome socialdistancingflattenthecurve   malaysia ,anger
20/4/2020,saufisufian,wipe your face with clean wet tissue is new norm co vi dstayathome socialdistancing flattenthecurve   malaysia ,anger
19/4/2020,saufisufian,social distancing save lives start travel co vi d stay home socialdistancing   malaysia ,anger
19/4/2020,mesekknyawai,antiviral drugs can easily identified with the suffix vir eg remdesivir favipiravir etc while various classes of antiinflammatory drugs such as chloroquine azothromycin which is also an antibiotic used for the combinative treatment of  covid,sadness
19/4/2020,saufisufian,flatten the curve save lives co vi d   malaysia ,anger
19/4/2020,saufisufian,day    movement  control  order  mco   co vi dstayathome   malaysia ,anger
18/4/2020,NursaifulSyah,just shoot at home   sempena musim wabak  covid ni banyak pihak memerlukan bantuan kita jika korang nak berikan sumbangan  boleh sumbangkan kepada pertubuhan kasih umat malaysiacimb  tabung ini ,anger
17/4/2020,Deriquecious,  ay mcomyi gkitajagakita   malaysia ,anger
15/4/2020,AjmerZeb1,corona viruscovid in the whole world ,anger
15/4/2020,thisisreef,tersentuh hati bila tengok video ni  di saat negara berdepan dengan isu wabak  covid ramai dikalangan kita berhadapan dengan pelbagai kesukaran  tak dapat balik kampung jumpa mak ayah tak boleh pergi bekerja ,anger
13/4/2020,EdahRusdi,adik aku positive  covid,anger
13/4/2020,GeemHashim,staying at home with daddy during  mco kitajagakita stayhomestaysafe mcomalaysia catsofinstagram catstagram catsagramcats catsofinstagram americancurl scottishstraight   malaysia ,anger
12/4/2020,NursaifulSyah,just shoot at home   sempena musim wabak  covid ni banyak pihak memerlukan bantuan kita jika korang nak berikan sumbangan  boleh sumbangkan kepada  pertubuhan kasih umat malaysiacimb  tabung ini ,anger
12/4/2020,aburaziq313,takziah diucapkan kepada keluarga  allahyarham  hashim bin  muhammad   yang telah meninggal dunia jam   am hari ini  beliau meninggal dunia akibat wabak  covid  ini adalah kematian  covid ke tujuh di icu ,anger
12/4/2020,eshamzhalim,apabila kena kuarantin daripada travel   stay home today for tomorrow travel  ikut nasihat kerajaan guys  stay at home and stay safe  bersama kita putuskan rantaian dan melawan covid   malaysia  boleh ,happy
12/4/2020,ladiefarah,tauhu berlauk siap kukus  tunggu masa nak masuk dalam kuali minyak panas petang ni     membelon lagi waktu stayathome stayhome mco pkp foodgasmfoodpornfoodphotography foodstagram covid ,anger
11/4/2020,palmy_malaysia,join us in helping our front liners by providing them the best product  read more about this in our blog  and help them by buying our product  covid covidmalaysia art ,happy
10/4/2020,mesekknyawai,its going to be another two weeks for the  mco  lets brace yourself for the rd phase of  mco pkp mcoextended  stay at home  we are in this together  kita jaga kita  kita mesti menang  malaysia bebas covid  malaysians let us fight this together feelingpositive,anger
10/4/2020,BuditBliss,betul tu   yang mana menjadi pilihan anda  sedih kerana  pkp dilanjutkan atau nak sedih melihat ramai lagi yang akan kehilangan nyawa  fikir  jangan selfish  coronavirus  covid covid malaysia ,sadness
10/4/2020,MichelleMPhilip,me when the world is free from corona  ,anger
8/4/2020,EdahRusdi,alhamdulillah wife adik negative  covid ,anger
7/4/2020,FabianMeringgai,corona ,anger
6/4/2020,Deepzter,lets do our part by staying home covid malaysia hennadesignhennaartists talened togetherwefightthissocialdistancing repost malaysianaturalhennaartist      stay home for the people you love ,love
6/4/2020,saufisufian,day    movement  control  order  mco   co vi dstayathome raining and wet  i miss my children and cucuk   malaysia ,happy
6/4/2020,EdahRusdi,sama doa nak bagus bagus  ilang semua wabak penyakit  covid di negara kita tok,anger
5/4/2020,EdahRusdi,salam semua my  lil brother have been tested positive for  covid  hopefully things will be just fine  please pray for his well being  aamiin  thank you,happy
5/4/2020,fqemo,capo  lekir day lekir ultras stayathome workfromhome negaraku corona coronavirus covid ultras capo flare soccerart illustration cartoon vector vectorart adobe adobeillustrator illustrator ,anger
4/4/2020,BuditBliss,best okay  yes kalahkan  coronavirus tu  fight fight ,anger
4/4/2020,saufisufian,day    movement  control  order  mco   co vi dstayathome harvesting  vitamin  d at the garden   malaysia ,anger
3/4/2020,annwell99,stay home  by annwellcorona freestyle lyric by muazjerr  rmo day freestylemalaysiabudakbelakang   sibu  sarawak ,anger
2/4/2020,Deriquecious,  socially  responsible   myi gsavelives kitajagakita stayathomeperintahkawalanpergerakan   malaysia ,anger
2/4/2020,SouthCrestMY,fact or fiction  swipe for more fact accurate about  covid source  who   malaysia ,anger
1/4/2020,kamariah_awg,bismillah  allahu   syaban h hari ke   perintah kawalan pergerakan covid covid  moga  allah  merahmati kita semua stay at home   malaysia ,anger
1/4/2020,TEDxKangar,hello people we are glad that more than  of enthusiastic young souls joined the  learn  online  programme created for  malaysians during  mco  congrats te dx kangar  new normal covid elearning   malaysia ,happy
