Datetime,username,tweets,emotions
31/3/2020,MuhdIkhwnSfwn,may  april bring us hopes and miraclescovd dudukrumah stayathome staysafe wefighttogether   malaysia ,anger
31/3/2020,wmkhair, trlalu bnyk dugaan dn cabaran kita hadapi  moga  allah lindungi dn permudahkn urusan kitastayathome kitajagakita   malaysia ,anger
31/3/2020,saufisufian,day    movement  control  order  mco   co vi dstayathome our coexistence   malaysia ,anger
31/3/2020,MeRep2p1,  rindu  nak  bebas  macam  duludulu kitajagakitavscocam vsco vscophile vscomalaysia vscoday igfeedsmenarik best of day instadaily love it beautiful syed amir art flower ,love
31/3/2020,SaySayLyLy,harga roller sblm ni boleh dpt  skrg laku keras harga corona  wei bagus beli basikal baru mama haha,anger
30/3/2020,Deriquecious,  surgical   myr  myig pink shield protect  kita jaga kita   malaysia ,anger
30/3/2020,Zulharith753121,stayathomestaysafekitajagakitacovid ,anger
30/3/2020,Rajnees54308109,now very difficult because have all countries corona virus,anger
29/3/2020,en_missy7,coronavirusdisease  covid kitajagakita stayhome  kami care  duduk rumah  perintah kawalan pergerakan ,anger
29/3/2020,Rajnees54308109,rajneesh kumar pal    donates rs   for the fight against coronavirus ,anger
29/3/2020,bekam_senawang,langkah pencegahan bagi wanita hami lcovid stayathome arayyancares fightcovid rmo   malaysia ,anger
28/3/2020,yselangorportal,kita jaga kita ayuh  tingkatkan semangat kebersamaan serta saling ingatmengingati agar terus mematuhi arahan  perintah  kawalan  pergerakan demi membendung rantaian penularan wabak  covid ini like  share ,anger
28/3/2020,zizancrew,crowdfunding  gpms untuk  mahasiswa yang terjejas di rumah sewa akibat  covid bantulah mereka berilah sumbangan ikhlas anda  semoga  allah  swt memberkati anda dan keluarga  terima  kasih daripada kami  gabungan ,anger
27/3/2020,TEDxKangar,we like this topic  it talks about dolphins aliens environment  perhaps theres the idea about animal empathy that will let you think about meet eating  and more te dx kangar  new normal covid love ,love
27/3/2020,firzhafiz,stay  chill th day of  lockdown   stunning  long  cape by  me  justpicture covid coronavirus globalpandemic movementcontrol bestrong courageous ,anger
