Datetime,username,tweets,emotions
21/9/2020,syammhamdi,does anyone know sia  unstoppable song imagine corona virus is singing that song ,anger
21/9/2020,neonizam,happy  bday buat  sahabat kami  big stage semoga sihat selalu serta sentiasa dalam lindungan  allah swt  aamiin  yarrabal  allaminqodyranymascteam mascallstar smascfamilimascultras kita jaga kita ,happy
17/9/2020,KhairudinRony,cara mengatasi covid   jangan lupa berdoa ke pada yg maha pencipta kita ,anger
16/9/2020,TheContentForum,bersamasama kita raikan harimalaysia kitajagakita kitamalaysia togetherwearestronger tanahairku negaraku tanahtumpahnyadarahku  malaysia   malaysia ,anger
15/9/2020,AiRoseskalerful, salam hari  malaysia moga terus bersatu aman dan damaikitajagakita   malaysia ,anger
31/8/2020,Cikk_Azie,selamat  hari  merdeka yang ke tahun buat seluruh rakyat  malaysia  semoga negara kita terus bebas dari  covid  aamiin  salam merdeka  malaysia prihatin  malaysia   malaysia ,anger
31/8/2020,bernardwong1987,happy  independence  day  malaysia merdekamoments selamatharimerdeka harimerdeka malaysiaprihatin happyindependencedaymalaysia harikebangsaan jalurgemilang malaysia malaysian malaysiaboleh prihatin  malaysia truly asia kitajagakita merdeka happynationalday  sarawak ,happy
30/8/2020,YanaMichiyo,selamat  hari  kebangsaan  ke malaysia  prihatin  merdeka   merdeka   merdeka tapi ingat kita belum merdeka daripada  covid ya  kita jaga kita konsertkitamerdeka countdownmerdeka ,anger
30/8/2020,AlekWalker,kepada semua kawan  rakyat  malaysia selamat  menyambut  hari  kebangsaan  yang  ke  malaysia prihatin malaysia prihatin kita mesti prihatin merdeka merdeka merdeka salam merdeka kita jaga kita ,anger
29/8/2020,Fitrinyet,happy birthday budak kenit semoga menjadi anak mithali bdayboy yearsold anakmember birthday haveaniceday kitajagakita   malaysia ,happy
23/8/2020,raydennnrb2,degree in  analysis of  covid  you can call me  professor now,anger
16/8/2020,OfficialMamanx,repost      salam  ahad semua  it takes a young boy from the street untuk cipta lagu for  malaysia yang dicintai pada tahun ini  walaupun ramai yang lesu kini  kerana kesusahan  covid   bob ,sadness
16/8/2020,OfficialMamanx,salam  ahad semua  it takes a young boy from the street untuk cipta lagu for  malaysia yang dicintai pada tahun ini  walaupun ramai yang lesu kini  kerana kesusahan  covid   bob dan ,sadness
13/8/2020,YusriAzmi,pray for  kedah kes  covid meningkat mendadak    malaysia ,anger
4/8/2020,asyraf3524,sikap ambil mudah dengan wabak corona  harap ramai lah yang degil tu kena kompaun   mask rm tak mampu beli  beli gadget canggih boleh pula ye ,anger
30/7/2020,tkchang0214,  thursday  pameran  inovasi bersempana  wacana  ilmu   perjalanan ini bersama  cikgu  haji  abang  mat  bin  abang  masagus  tuan  pengarah  jpn  sarawak  first event after pandamic  covid glad that all went successful and smoothly can sleep well after this  ,happy
25/7/2020,Fitrinyet,when theres too much talking nobody hears the words you sayoceancolourscene uponthedownside timegoesby haveaniceday staysafe kitajagakita   malaysia ,anger
23/7/2020,Amenjahhh,student  c  teacher  amenjah my  jiu  jiu uncle just came back from  mei  guo  usai was like me  huh  come again while listening to her  i was doing smth  she repeats again  my first thought is  covid  after she said that,happy
16/7/2020,izamrie,dah let go first kaunter di tahun covidalhamdulillahkecilkecilansajabosku   malaysia ,anger
13/7/2020,ladiefarah,amboiii   bukan main semuanya ya ya ey semenjak  pkpp ni   kak  fa bukan cemburu tau tapiii  ingat kita masih belum bebas sepenuhnya dari wabak covid  jadi haruslah sentiasa beringat rumah tu rumah  ,anger
