Datetime,username,tweets,emotions
7/12/2020,norazmania,dah sampai  but not  pkpd  area semua orang tahu kita boleh mengira   sop  kita jaga kita kitabelummenang covid    malaysia ,anger
1/12/2020,MuhammadAminRe3,gubernur  anies  baswedan  positif  corona mari  kita  doakan  semoga  beliau  ce  lewat ,anger
30/11/2020,arikadaniarmrtn,semoga  covid  segera lenyap  aamiin,anger
24/11/2020,AidenJo32490090,sanitasi  bangunan tetap diteruskan covid kita jaga kita ,love
14/11/2020,megatabdulR,stay at  home   stay  healthy covd covid coronavirus malaysia lockdown stayathome staysafe  kita jaga kita dudukrumah cegahcovid collage collageart art photoshop mardesigner collagebymar ,anger
10/11/2020,mnss2903,covid  sop  social distancing ,anger
9/11/2020,AiRoseskalerful, selamat berpkpb bagi semua negeri kecuali pkp  perlis  kelantan  pahang stay safe stay humble stay positive twitter kitajagakita   malaysia ,happy
7/11/2020,AiRoseskalerful, berdiri aku di sini bukan untuk seketika berdiri aku sebagai perindulyricoftheday berdiriseorangperindu ibnorriza gambarthrowback cmcoextendlagi kbye kitajagakita   malaysia ,anger
1/11/2020,IwanAfro,anak yang bagus selepas makan bersih kan muka  cat staysafestayhomestayhealthy kitajagakitakitapastimenanginsya allahmorning alhamdulillah   malaysia ,anger
21/10/2020,anasredzuan,kita jaga kita kita teguh kita menang   malaysia ,anger
11/10/2020,w_n_iyliana,update   kes  covid di  malaysia mohon kerjasama semua ye kawal diri dan keluarga anda   malaysia ,anger
6/10/2020,SaySayLyLy,swimingpool mana bebas corona skrg  sikit lagi nak typo syamimipool,anger
1/10/2020,kentjana_,takkan sedar selagi tak ada figura profail tinggi yang  mati disebabkan  covid  kenapa ada double standard  bodoh,anger
