Datetime,username,tweets,emotions
7/6/2021,neexxzz,friendly reminder kita belum menang  stay at home,happy
7/6/2021,xhisa12,on nd tot i rather be at office than stay at home cuz of this mental torture  can i go  out and rent a hotel room,happy
7/6/2021,yeeshean4,stay  home  stay  safe  ,happy
7/6/2021,kpjmaharani,with utmost sincerity from  board of  directors  senior  management and  staff of  kpj  healthcare  berhad its group of  hospitals   companies  stay  safe  stay  healthy  stay  home because  we  care  for  life kpjgreeting kitajagakita  kp jcares malaysia,happy
7/6/2021,malaysia_covid,re update   to show how severe our sporadic cases are right now   less than  cases are linked to any clusters so stay at home if you have no other reasons to go out in public unless you have to  ,happy
7/6/2021,HiAjinomotoMY,happy  world  food  safety  day  do stay healthy by eating nutritious food in this  fmco  time to control our sodium consumption  get diet back on track as we cook at home  remember  eat  well  live  well   hi ajinomoto my eatwelllivewell  world food safety day  ajinomoto  stay safe ,happy
7/6/2021,DPULZEcyberjaya,  heartfelt birthday wishes to  yang di pertuan  agong  sultan  muhammad  xvi  we wishes everyone a happy holiday  stay safe at home  daulat tuanku  yangdi pertuan agong ,happy
7/6/2021,portluxe,keep  calm  stay  home  flatten  the  curve  we can do this  ecofashion sustainablefashion ecofriendly ethicalfashion fashion sustainable sustainability consciousfashion fashionrevolution sustainableliving fairfashion vintage secondhand zerowaste ,happy
7/6/2021,RedR055,stay home stay safe and berak  fast  ,happy
7/6/2021,DesmondTanKM,stay safe at home  be patience and be happy during our nd week of  fmco  we care for your safety so stay at home asiapacificnet ,happy
7/6/2021,DanielTube1977,  fully  lockdown  and  stay  at  home  relaxing  music  restful  and  calm  mu  via ,happy
7/6/2021,intewig,yes its very wet and theres water sloshing everywhere and ooh guess what it smells like fish  dont like it  stay home and eat your mash and peas  ill continue slurping my fish soup ,happy
7/6/2021,OurTampinesHub,stay home stay fit  come stay off the couch and keep fit with a series of all new virtual sports programmes lined up for everyone via  zoom login  join us live at  for  ball  handling  workout today   june  from pm to pm ,happy
7/6/2021,AmaruddinKhalid,stay home stay safe  we can do this  stay home stay safe ,happy
7/6/2021,sapphiresplenda,wow  im so proud of myself  i spent hours looking at the website putting stuff to my cart and just leaving because honestly  im not even sure where the hell am  i going with those outfits and earrings and rings  to stay at home  nah,happy
7/6/2021,LibertyGolfMY,stay safe and may  god grant you both protection  try to stay home after jab as immunity would be low,happy
7/6/2021,rickyliow,good  morning  happy   safe  stayathome ,happy
7/6/2021,llolipopccandy,please read this  you know how hard to hold drink for more than  hours after dehydrate  please stay at home if you dont really have serious business to do  help them to break the chain covid ,happy
7/6/2021,plastic5surgery,during our stay in  covid we must keep good health lower than the invasion of viruses and defend my customers and our home ,happy
7/6/2021,Hoi_Cheong_Chan,well if stock habis then let it be  for instance  i dont think there will be a rush for super glue  let the market forces determine  stop babysitting everybody by having this level of controlling  you want people to stay at home is fine but dont make our life harder,happy
7/6/2021,kina_yoo,good morning to  m uwu ok stay at home work from home bebes get yo pretty self up and strm  ,happy
6/6/2021,FrunchieA,assalamualaikum morninggg sunshine  beautiful people    happy working from home   semoga usaha apapun menemui hasil yg baik  ingat tiada usaha yg sesia melainkan ianya menjadi guru terbaik kepada hidup kita  stay safe everyone   ,happy
6/6/2021,ST_LifeTweets,stayhome guide for  monday  listen to music by  singaporean female artistes order some nonya bentos and more ,happy
6/6/2021,hasbeemasputra,thanks  the stay helped stabilise me new cocktail of meds work very well  just having issues readjusting to being back home  the political situation here is a massive stressor as well,happy
6/6/2021,mochigardens,being at home makes me lose weight becuz i cant eat what i want but whenvever i stay at campus my stomach becomes a blackhole that can never be satisfied ,happy
6/6/2021,hopefulhani,dah  hari dah tok takde  tokwan is still fighting wlaupun dia sgt down coz hes alone there and his soulmate had left him  even his children pun tak dapat nak pujuk dia to open his eyes yesterday wan please stay strong  u said u want to go home kan doc nk bg tau wan blik,happy
6/6/2021,ideal_amir,insya allah  stay  home   stay  safe  lets us act  pray for the best to overcome this pandemic,happy
6/6/2021,kimfatimahjr,lately i feels detached with ig  i found that i dont have anything important to share with others  maybe stay at home for so so long turned me into this,happy
6/6/2021,SafetywareSB,you may wonder why the government always asked us to  stay at home  it is actually for our own good  so lets summarize the few reasons for keeping us safe at home stayathome staysafe socialdistancing covid didyouknow ,happy
