Datetime,username,tweets,emotions
7/6/2021,TYRADNE,its been awhile of not doing outdoor activities out for running basketballing everything  i love  everyday meratib to my husband  i miss going out bla bla  and looking at people yg loud suruh orang stay at home but dia sendiri upload hari tak jaga pun  sop makes me angry,love
7/6/2021,TimeOutSG,stay home stay safe and stay in love singapore  ,love
6/6/2021,zeeqdean,guys please stay at home kalau takde apa yg penting kat luar tu sayang your family guys ,love
6/6/2021,bavani_21,find joy in everything you choose to do  every job relationship homeits ur responsibility to love it or change it  dream big work hard stay focused  surround yourself with positive people definitely you will have a better  happier life all about hw u carry ur self,love
5/6/2021,abukitol,tambah bila part diaorg sebut we love youwe love youso stay homegeli rabak nak mampus,love
5/6/2021,jadejeongwrites,love the no shirt cook maggi stay home energy ,love
5/6/2021,MELVINMAGIC11,we can win the pandemicstay homestay safethanks frontliner i hope u love this magic  instagram   melvin magic tiktok   melvin magic  you tuber youtubechannel youtubepremium artistsontwitter instagood instadaily tiktokchallenge  covid  stay home mustread ,love
5/6/2021,hijabistahub__,friendly reminder untuk semua orang please please please stay at home and jangan keluar rumah unless jika perlu sahaja  tolong jaga kesihatan ok  duduk rumah boleh window shopping kat website  hijabista hub  dah beli baju  hijabista hub  boleh  ootd kat cermin bilik  ,love
5/6/2021,zuraidajamil_,kepada rakyat  malaysia yang dikasihi tak rindu ke kehidupan kita semasa tahun  yang bebas kesana kesini tanpa pelu fikir jarak  meter dan face mask  jika kamu rindu suasana itu pleas stay at home if tak ada benda penting jangan langgar peraturan and ambilah vaksin,love
4/6/2021,DeanSahaja,semoga cepat la habis corona ni  rindu keadaan yang normal  apa pon just take care and stay safe  aina ,love
4/6/2021,TerenceChoong,day  after cucuk astra zeneca  still alive no side effects  stay at home   to  protect your love  ones  follow sop   to  protect your love  ones  vaccinate   to  protect your love  ones ,love
4/6/2021,dreamerz59,we love  malaysia  pls everyone just stay home go out only when its important  follow  so ps assign by the govt  staysafeathome ,love
4/6/2021,pandaresah,since  pkp kan baru bangun  exercise sikit  and breakfast  ingat  stay at home  buat saja apa yg kau suka janji tak mencederakan org lain  be you  love yourself ,love
3/6/2021,hyuk_kawaii, i have a crush in the office  hes a smooth talker and he likes making puns we joke around a lot sometimes when we stay back too late he drops me off on his way back home   he activates my fangirl mode and i love that excitement hahahaha example ,love
3/6/2021,ilibeomie90,stay stray kids i love all of you so much this win is for all of us for hyunjin too i hope you will come back home to us soon,love
3/6/2021,Mybareskinlab,stay at home and stay safe whenever you are  take care of yourself and your love one    always take precautions whenever you are going out  we can do this  ,love
3/6/2021,gowri_gal,lucky now u stay at home  nanti kamu harus keluarkan  i take care   sayang u then   tamil  admin      bots dont  love ,love
3/6/2021,nanadC1,so we will get stay home birthday  md soon haha ,love
3/6/2021,lastminutesnews,husband  wife songs  romantic songs  tamil  love melodies songs  mr jockey  hi  viewers  this is  rajesh  mimi  thanks for subscribing  mr  jockey  channel  stay home stay safe watch our video enjoy the music  guestpost america usa ,love
2/6/2021,Melluvchai,saksikan  drama terbaru di slot  akasia masih ada rindu dr produksi  arahan di  lg best bila layan ost drama  ini dr single   iaitu bangkit semula    stay  safe n stay at home everyone  ,love
2/6/2021,fatinedzahar,teruk betul line internet bila malam ya sebab sis duduk tingkat  ke  now you know why i love going to officejogging rather than stay here at home pftttt,love
2/6/2021,Ranjith21740946,spread love and happiness around us  stay home  stay safe   hope for the bless year ahead feel blessed  ,love
2/6/2021,sunkipouts,you better stay at home my love ,love
2/6/2021,TimeOutSG,sweet treats to help chase away the stayhome blues  ,love
2/6/2021,JumaliBahri, days to live what would you do  solid advice from  of my friends     banyakkan  amal  ibadah dan sedekah    stay at home and spend time dgn love ones  prepare them for whats to come    good advice,love
