Datetime,username,tweets,emotions
6/6/2021,tengkusyahaha,exactly my thoughts too lost teenage years due to trauma and emotional abuse and when  i reach my twenties  im forced to stay at home  wasting my youth again ,sadness
6/6/2021,farizruslan,sedih nep  kita lawan virus yang tak nampak  so kau next time jgn merayau  stay at home stayathome,sadness
6/6/2021,NST_Online,ns tnation  the  education  ministry must immediately put in place measures to boost the effectiveness of homebased teaching and learning  pd pr given that it is here to stay amid the  covid pandemic ,sadness
6/6/2021,thevibesnews,just in  shoppers no longer have to abide by the twohour limit said  domestic  trade and  consumer  affairs  ministry enforcement director  azman  adam  we still advise people to get required items and leave the premises fast and stay at home more he was quoted by  the  star,sadness
6/6/2021,sarafandi88,stay virgin or not this is our choice  being sexually active or just stay at home is our choice  we dont need men to decide for our vaginas future  no one  hahahha  to women why must be ashamed of our sexuality choicesown it ,sadness
5/6/2021,zaku709,im so sorry  ill stay radio silence for the next couple of day o  got told that my dearest grandpa passed on peacefully while taking a nap after dinner on the couch back in my home country and  im still trying my best to process the fact that hes no longer with us o,sadness
5/6/2021,BenjaminHFT,most shopee vouchers requires shopeepay as payment method  items w discounts less stock free shipping all sapu habis due to d fact that theres glitch in shopeepay  buyers time wasted covid all stay at home shop online now what whos gonna bear all these lost,sadness
5/6/2021,RisingValue,its not surprising how  govts around the world misuse their power and like to oppress ordinary helpless people  why chase after migrants and forcing them to get vaccinated   they are not your pigs and you dont decide for them  stay at home with your family  sir such a cunt,sadness
5/6/2021,JoshLee75167117,let the children stay at home and consume a lot vitamins  dont let children go out from house  they are future that we should protect  just fix something for online education instead  please,sadness
5/6/2021,dvyaclara,just checking in day  on lockdown at home  drove out once to get essentials lost  people  i know to  covid  very demotivated and tired about everything  but eventually constantly reminding myself that  im doing this to stay alive  keep my family safe  take care everyone,sadness
5/6/2021,Ashraf_Ayu,i think its not about any scientific basis rather encouraging people to stay home  all those who need hair dyegel fmasks etc are not going to be seen outside  certainly no ones going to be hurt for not buying those nonessentials,sadness
5/6/2021,HannanJohor,hai macam mana lockdown hari ke  ni skin  hair semua ok tak stay at home tapi keperluan utk skin dan hair jgn ditinggalkan ok ,sadness
5/6/2021,BTS_Lucky7GO,i wonder any army is going to the pop up store alone like me   if the pandemic is less serious and cases are lo   yesss   guys please  stay home now after the pandemic is over we can go to the pop up store again together ,sadness
