Datetime,username,tweets
2021-06-07,FlyFM958,"â€If you put a frog in the water and slowly raise the temperature, it will stay until it is boiled to deathâ€¦â€ https://t.co/kRoBZ1Xydq"
2021-06-07,shrrr4,sebok psl kerajaan gagal. but they be still crossing district jumpa gf bf. org mcm ni smpai mampos la tak habis2 pkp. stay at home laaa susah ke. mati ke tk jumpa bf gf korng tu haih
2021-06-07,MinElly287,Insyaallah we can do this!!! stay at home please ðŸ¥°ðŸ¥° https://t.co/rOVBFQNuNw
2021-06-07,dinoyong,"@DGHisham A bit of relief seeing this downtrend, pray hard, and continue stay home"
2021-06-07,miyanlov3,Stay home ja. Tak payah merayau2 https://t.co/Cs7pzQBb27
2021-06-07,RajaAmieraa,saya ni dah stay home tau tapi kes still juga naikðŸ¥² https://t.co/o2eygEithc
2021-06-07,Syuk_RCs,Walaupun ada turun .. Please stay home lagi jgn nk kuar tak tentu pasaiii .. ðŸ‘ðŸ¤² https://t.co/jG8mno6G1w
2021-06-07,IntanEdgar,I stay at home. I only leave the house to get my groceries twice a month. I donâ€™t talk to people just get my things and head home straight. No detour nothing. But covid still found its way to get me. Be extra vigilant guys COVID is everywhere.
2021-06-07,neexxzz,@KKMPutrajaya @ImanAbdulRahim Friendly reminder: kita belum menang. Stay at home!
2021-06-07,xhisa12,On 2nd tot i rather be at office than stay at home cuz of this mental torture ðŸ™„ðŸ™„ can i go  out and rent a hotel room??
2021-06-07,Melluvchai,Lagu BANGKIT SEMULA dr single @khaibahar94_  telah menjadi OST drama Astro iaitu #DERITAUNTUKBAHAGIA Isnin - Jumaat jam 6 ptg di #astroprima ! #Khaibahar #bangkitsemula Stay safe n stay at home semua ðŸ‘ðŸ¡! https://t.co/RQcKha02AY
2021-06-07,JohnaGena1,Covid 19.Stay Home https://t.co/z7VUtvZ4bO
2021-06-07,Jazzmine_jessy,"Menteri fikir kita2 stay at home, wfh ni xbt apa2 mcm diorg agknya.. Fundekk https://t.co/sXd5FVokm6"
2021-06-07,Zulnasri_Said,"Stay at home woi! Buat assignment. Kalau takde assignment, main ml. Season dah nak habis, push rank byk2. Asalkan solat tak tinggal and kau tak keluar."
2021-06-07,miraeruns,@TYRADNE Caption dia: stay safe stay home fight covid bla bla bla *insert makian terhadap menteri Igstory kawan dia: 20 orang lari berjemaah termasuk dia di atas. K...
2021-06-07,idotcomel,@farrenAnthony @NabilahMustafa Better stay home sajala kan. ðŸ¤£ Byk lg ceta netflix boleh hbskan
2021-06-07,TYRADNE,"Itâ€™s been awhile of not doing outdoor activities. out for running, basketballing, everything I love. Everyday meratib to my husband, I miss going out bla bla And looking at people yg loud suruh orang stay at home but dia sendiri upload hari2 tak jaga pun SOP makes me angryâ€¦."
2021-06-07,UtusanTV,Kejohanan akan disiarkan secara langsung menerusi FB Team Haq Esports Club. https://t.co/OyU2x3PjbV
2021-06-07,stnkhalida,@pedoqpop hahahahhahaha memg semua jawapan stay at home ke apa niðŸ˜‚
2021-06-07,Vincent12006599,"@DrAmarMOH @hannahyeoh @MKNJPM Buy from Lazada and Shopee la. So convenient these days. Everything sells online now every a single screw, sand, cement, etc. Pls go online and stay at home."
2021-06-07,izaanfly,"On top of that, macam mana marhaen mahu stay at home kalau majikan suruh pekerja datang? Majikan pula susah untuk tutup pasal tiada bantuan kewangan from kerajaan. Kau kerja makan gaji dan tidak terkesan senanglah cakap."
2021-06-07,yeeshean4,Stay Home Stay Safe ðŸ’œ https://t.co/3BvLHj6eaX
2021-06-07,kpjmaharani,"With utmost sincerity from: Board of Directors, Senior Management and Staff of KPJ Healthcare Berhad, it's group of Hospitals &amp; Companies. Stay Safe, Stay Healthy, Stay Home, because We â€œCare For Life"" #kpjgreeting #kitajagakita #KPJcares #malaysia"
2021-06-07,hisyamghazali91,"Suruh rakyat stay at home, tapi home appliances rosak tak boleh nak repair. Apa ke bodoh lah polisi macam ni? Hal electronic, internet, plumbing tu kan sepatutnya essential? Dah yg buat polisi semua duduk mahligai. Tahu, tahu semua ada. Bodoh"
2021-06-07,mrizwanrosli,"@ipuyii 7,stay at home hmmmm...."
2021-06-07,Ahchat_5991,"Wait, why both laki bini mesti keluar tinggalkan anak kecik 4 n 6 tahun kat rumah? Cant 1 of em just stay home? https://t.co/Bb58dLco6l"
2021-06-07,bharianmy,#BHsukan Kejohanan Mobile Legend Bang Bang THQ Stay At Home menerima sambutan menggalakkan https://t.co/kOGR4byA64
2021-06-07,malaysia_covid,"Re-Update ! To show how severe our sporadic cases are right now ! Less than 20% cases are linked to any clusters, so stay at home if you have no other reasons to go out in public unless you have to ! https://t.co/yfO4KjMv92"
2021-06-07,HiAjinomotoMY,"Happy World Food Safety Day! Do stay healthy by eating nutritious food in this FMCO! Time to control our sodium consumption &amp; get diet back on track as we cook at home!ðŸ´ Remember, ""Eat Well, Live Well"" â¤ï¸ #HiAjinomotoMY #eatwelllivewell #WorldFoodSafetyDay #Ajinomoto #StaySafe https://t.co/gvMiYCHUMl"
2021-06-07,501Awani,"""Tiada yuran penyertaan dikenakan."" #AWANInews #AWANIpagi #DisiplinMalaysia #NormaBaharu https://t.co/jDiMjnpITJ"
2021-06-07,MartialWak,@RozyRazit suruh stay at home...ko pi stay kat hotel.... ambik lah..
2021-06-07,PromocodesMY,** Maybank Extra RM10 Off Voucher! ** Shopee Stay Home Stay Safe Extra Shipping Voucher + Up to 15% CCB Vouchers Claim All Vouchers Here: https://t.co/rasiLitOPy https://t.co/4At5xgdD4p
2021-06-07,cheen97,Dah seminggu weh stay at home. Sikit hari lagi jadi zombie ðŸ¤ª
